country_code,country,indicator_code,indicator,year,data_value,in_oecd
AUS,Australia,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,96.7,oecd
AUS,Australia,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,22.1,oecd
AUS,Australia,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,6.5,oecd
AUS,Australia,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,52.5,oecd
AUS,Australia,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,86.5,oecd
AUS,Australia,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,92.7,oecd
AUS,Australia,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,76.2,oecd
AUS,Australia,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,89.2,oecd
AUS,Australia,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,67.5,oecd
AUS,Australia,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,54.2,oecd
AUS,Australia,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,71.9,oecd
AUS,Australia,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,23.5,oecd
AUS,Australia,CWB35A,Reading performance at age 15 (PISA),2015,502.9,oecd
AUS,Australia,CWB35B,Mathematics performance at age 15 (PISA),2015,493.9,oecd
AUS,Australia,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,69.2,oecd
AUS,Australia,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,18.0,oecd
AUS,Australia,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,2.0,oecd
AUT,Austria,CWB1A,Children (0-17) living with two parents (%),2015,81.3,oecd
AUT,Austria,CWB1B,Children (0-17) living with a single parent (%),2015,18.3,oecd
AUT,Austria,CWB1C,Children (0-17) living in 'other' types of household (%),2015,0.4,oecd
AUT,Austria,CWB2A,Children (0-14) in households where all adults are in employment (working) (%),2015,63.2,oecd
AUT,Austria,CWB2C,Children (0-14) in households with all adults not in employment (jobless) (%),2015,7.5,oecd
AUT,Austria,CWB3,"Average disposable household income, 0-17 year-olds, 2015 USD PPP",2015,29822.5,oecd
AUT,Austria,CWB8A,Adolescents (15-year-olds) who report talking to their parents before or after school (%),2015,94.4,oecd
AUT,Austria,CWB9,Children (0-17) in overcrowded households (%),2015,24.6,oecd
AUT,Austria,CWB16,Adolescents (15-year-olds) skipping either breakfast or dinner (%),2015,37.9,oecd
AUT,Austria,CWB17A,Adolescents (15-year-olds) who report doing no physical activity outside of school (%),2015,6.1,oecd
AUT,Austria,CWB17B,Adolescents (15-year-olds) who report regularly engaging in vigorous physical activity outside of school (%),2015,42.7,oecd
AUT,Austria,CWB22,Children (3-5 year-olds) enrolled in pre-primary education or primary school (%),2015,88.1,oecd
AUT,Austria,CWB27,Adolescents (15-year-olds) with parents interested in and supportive of their education (%),2015,90.3,oecd
AUT,Austria,CWB28,Adolescents (15-year-olds) who study before or after school (%),2015,86.7,oecd
AUT,Austria,CWB29,Adolescents (15-year-olds) who want top grades at school (%),2015,77.9,oecd
AUT,Austria,CWB30,Adolescents (15-year-olds) who feel anxious about school tests even when well-prepared (%),2015,50.8,oecd
AUT,Austria,CWB31,Adolescents (15-year-olds) who expect to complete a university degree (%),2015,27.1,oecd
AUT,Austria,CWB32,Adolescents (15-year-olds) who feel like they belong in school (%),2015,76.0,oecd
AUT,Austria,CWB33,Adolescents (15-year-olds) who feel like outsiders at school (%),2015,13.9,oecd
AUT,Austria,CWB35A,Reading performance at age 15 (PISA),2015,484.9,oecd
AUT,Austria,CWB35B,Mathematics performance at age 15 (PISA),2015,496.7,oecd
AUT,Austria,CWB40,Adolescents (15-year-olds) who are high or extreme internet users (%),2015,59.4,oecd
AUT,Austria,CWB44A,Adolescents (15-year-olds) reporting high life satisfaction (%),2015,39.7,oecd
AUT,Austria,CWB44B,Adolescents (15-year-olds) reporting low life satisfaction (%),2015,11.1,oecd
AUT,Austria,CWB50A,Length of paid maternity and parental leave available to mothers in weeks,2015,60.0,oecd
AUT,Austria,CWB50B,Length of paid paternity and parental leave reserved for fathers in weeks,2015,8.7,oecd
BEL,Belgium,CWB1A,Children (0-17) living with two parents (%),2015,73.8,oecd
BEL,Belgium,CWB1B,Children (0-17) living with a single parent (%),2015,25.0,oecd
