id,enroll_hmsc,grade_year,school_type,same_school,enjoy_school,grades,ap_enroll,behavior_problem,work_problem,behavior_good,work_good,repeat_grades,out_suspension,in_suspension,expelled,expectations,hmsc_grade_year,hmsc_who_teaches,hmsc_tutor,hmsc_coop,days_hmsc,hrs_hmsc,teach_style,Library,Homeschool Catalog,Educational Publisher,Homeschooling Organization,Church,Public School,Private School,Bookstore,Websites,Other Source,Virtual School/Curriculum,hmsc_course,internet_hmsc,Local Public School,State,Charter School,Another Public School,Private School,College,Someplace Else,school_event,volunteer,school_mtng,pta_mtng,parent_teacher,fundraiser,school_cmte,counselor,hw_time,hw_hours,child_hw,hw_check,hw_help,time_mgmt,meal_together,child_health,year_born,age,country_born,sex,ttl_income,race,region,parent_educ,family_type
20161000013,Enrolled in school,3rd,Public School,1,1,1,-1,0,0,4,5,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5+ days a week,10,Amount is about right,4,2.0,1,6,2,2007,8,1,Male,10,Asian,West,4,Two parents and sibling(s)
20161000017,Enrolled in school,9th,Public School,1,1,2,No,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3-4 days a week,4,Amount is about right,4,2.0,1,5,2,2001,14,1,Male,6,Hispanic,Midwest,3,Two parents and sibling(s)
20161000050,Enrolled in school,1st,Public School,1,1,5,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,Yes,Yes,No,No,No,3-4 days a week,4,Amount is about right,4,3.0,0,7,1,2008,7,1,Male,6,Hispanic,South,4,Two parents and sibling(s)
20161000057,Homeschooled,-1,Homeschooled,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9th,1,2,2,5,40,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,7,2,2001,14,1,Female,5,White,South,4,Two parents and sibling(s)
20161000058,Enrolled in school,9th,Public School,1,2,1,Yes,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,Yes,No,No,No,5+ days a week,6,It's too much,3,1.0,1,5,2,2001,14,1,Female,9,White,Midwest,4,Two parents and sibling(s)
20161000064,Enrolled in school,10th,Public School,1,2,2,No,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,No,No,No,No,No,No,3-4 days a week,6,It's too much,1,5.0,1,4,1,2000,15,1,Female,8,Hispanic,South,3,Two parents and sibling(s)
20161000065,Enrolled in school,10th,Public School,1,2,1,No,2,0,0,0,2,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,Yes,No,No,No,No,Never,-1,-1,-1,,0,0,1,1999,16,1,Male,4,White,South,1,One parent and sibling(s)
20161000085,Homeschooled,-1,Homeschooled,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10th,6,1,1,5,30,Strictly use formal curriculum,1,1,1,1,2,1,1,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,1,5,1,1999,16,1,Male,5,Other/Mixed,South,4,Two parents and sibling(s)
20161000096,Enrolled in school,10th,Public School,1,2,3,No,0,0,0,0,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,Yes,No,No,Yes,No,Yes,5+ days a week,10,Amount is about right,4,1.0,1,4,2,2000,15,1,Male,5,Hispanic,West,3,One parent and sibling(s)
20161000120,Enrolled in school,9th,Public School,2,2,1,No,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,No,Yes,No,Yes,No,No,Yes,3-4 days a week,1,Amount is about right,3,1.0,0,7,2,2001,14,1,Female,9,Hispanic,West,5,"Two parents, no sibling"
