id,enroll_hmsc,school_type,hmsc_grade_year,hmsc_who_teaches,hmsc_tutor,hmsc_coop,days_hmsc,hrs_hmsc,teach_style,Library,Homeschool Catalog,Educational Publisher,Homeschooling Organization,Church,Public School,Private School,Bookstore,Websites,Other Source,Virtual School/Curriculum,hmsc_course,internet_hmsc,Local Public School,State,Charter School,Another Public School,Private School,College,Someplace Else,hw_help,time_mgmt,meal_together,child_health,year_born,age,country_born,sex,ttl_income,race,region,parent_educ,family_type
20161000057,Homeschooled,Homeschooled,9th,1,2,2,5,40,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,7,2,2001,14,1,Female,5,White,South,4,Two parents and sibling(s)
20161000085,Homeschooled,Homeschooled,10th,6,1,1,5,30,Strictly use formal curriculum,1,1,1,1,2,1,1,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,5,1,1999,16,1,Male,5,Other/Mixed,South,4,Two parents and sibling(s)
20161000188,Homeschooled,Homeschooled,12th,1,1,2,5,20,Strictly use formal curriculum,1,1,2,2,2,1,1,1,1,2,2,Online & In-Person,1,2,2,1,2,1,2,2,,1,5,1,1998,17,1,Female,3,Hispanic,West,2,"Two parents, no sibling"
20161001259,Homeschooled,Homeschooled,5th,6,1,2,3,8,Mostly use formal curriculum,1,2,2,2,2,1,2,2,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,3,5,2001,14,1,Female,1,Hispanic,South,4,Two parents and sibling(s)
20161001905,Homeschooled,Homeschooled,11th,2,2,2,7,40,Strictly use formal curriculum,1,2,2,1,2,2,2,2,1,2,2,Online & In-Person,1,2,2,2,2,2,2,1,,1,7,1,1998,17,1,Female,1,White,West,3,One parent and sibling(s)
20161002179,Homeschooled,Homeschooled,12th,5,2,2,5,30,Strictly use formal curriculum,1,2,1,1,2,2,2,1,1,2,2,No Course,1,2,2,2,2,2,2,1,,0,6,1,1998,17,1,Female,7,Other/Mixed,West,3,Two parents and sibling(s)
20161002612,Homeschooled,Homeschooled,11th,6,2,2,5,5,Strictly use formal curriculum,2,2,2,2,2,1,2,2,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,1,3,1,1999,16,1,Male,3,Hispanic,West,1,Two parents and sibling(s)
20161002841,Homeschooled,Homeschooled,10th,1,2,1,5,40,Strictly use formal curriculum,1,2,2,1,2,2,2,1,2,2,2,Online,1,2,2,2,2,2,2,1,,1,7,2,1998,17,1,Female,2,Black,South,3,One parent and sibling(s)
20161003133,Homeschooled,Homeschooled,2nd,1,2,1,5,35,Mostly use formal curriculum,1,1,1,1,2,2,2,1,1,2,2,No Course,2,-1,-1,-1,-1,-1,-1,-1,,0,3,1,2007,8,1,Female,8,Hispanic,Midwest,4,"Two parents, no sibling"
20161003438,Homeschooled,Homeschooled,2nd,1,2,1,5,30,Mostly use formal curriculum,1,1,1,1,1,2,2,1,1,2,2,Online & In-Person,2,-1,-1,-1,-1,-1,-1,-1,,1,7,2,2008,7,1,Male,4,White,South,5,Two parents and sibling(s)
