"BASMID","QTYPE","GRADE","SCPUBPRI","SSAMSC","SEENJOY","SEGRADES","SEADPLCXX","SEBEHAVX","SESCHWRK","SEGBEHAV","SEGWORK","SEREPEAT","SESUSOUT","SESUSPIN","SEEXPEL","SEFUTUREX","GRADEEQ","HSWHOX","HSTUTOR","HSCOOP","HSDAYS","HSHOURS","HSSTYL","HSCLIBRX","HSCHSPUBX","HSCEDPUBX","HSCORGX","HSCCHURX","HSCPUBLX","HSCPRIVX","HSCRELX","HSCNETX","HSCOTH","HSCVTLCR","HSCOURS","HSINTNET","HSINTPUB","HSINTST","HSINTCH","HSINTAPB","HSINTPRI","HSINTCOL","HSINTOH","FSSPORTX","FSVOL","FSMTNG","FSPTMTNG","FSATCNFN","FSFUNDRS","FSCOMMTE","FSCOUNSLR","FHHOME","FHWKHRS","FHCAMT","FHCHECKX","FHHELP","FORESPON","FODINNERX","HDHEALTH","CDOBYY","AGE2015","CPLCBRTH","CSEX","TTLHHINC","RACEETH2","CENREG","PARGRADEX","FAMILY16X"
20161000013,2,6,4,1,1,1,-1,0,0,4,5,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,4,10,1,4,2,1,6,2,2007,8,1,1,10,4,4,4,1
20161000017,2,12,4,1,1,2,2,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,1,3,4,1,4,2,1,5,2,2001,14,1,1,6,3,3,3,1
20161000050,2,4,4,1,1,5,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,2,2,3,4,1,4,3,2,7,1,2008,7,1,1,6,3,2,4,1
20161000057,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,1,2,2,5,40,2,1,1,1,1,1,2,2,1,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,2,2001,14,1,2,5,1,2,4,1
20161000058,2,12,4,1,2,1,1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,2,2,2,4,6,2,3,1,1,5,2,2001,14,1,2,9,1,3,4,1
20161000064,2,13,4,1,2,2,2,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,3,6,2,1,5,1,4,1,2000,15,1,2,8,3,2,3,1
20161000065,2,13,4,1,2,1,2,2,0,0,0,2,2,1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,2,2,2,5,-1,-1,-1,-1,2,0,1,1999,16,1,1,4,1,2,1,3
20161000085,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,6,1,1,5,30,1,1,1,1,1,2,1,1,1,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1999,16,1,1,5,5,2,4,1
20161000096,2,13,4,1,2,3,2,0,0,0,0,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,2,1,4,10,1,4,1,1,4,2,2000,15,1,1,5,3,4,3,3
20161000120,2,12,4,2,2,1,2,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,2,2,1,3,1,1,3,1,2,7,2,2001,14,1,2,9,3,4,5,2
