Category: All categories

Region,online tutoring: (8/1/19 - 12/18/20),online public schools: (8/1/19 - 12/18/20),learning pod: (8/1/19 - 12/18/20),how to homeschool: (8/1/19 - 12/18/20)
Oklahoma,15%,58%,,27%
West Virginia,16%,,,84%
Alabama,31%,9%,,60%
Kentucky,23%,24%,,53%
Mississippi,23%,18%,,59%
Maine,22%,,,78%
Arizona,49%,20%,1%,30%
Idaho,42%,,,58%
Maryland,35%,38%,2%,25%
Connecticut,41%,41%,4%,14%
Virginia,28%,35%,3%,34%
Nebraska,12%,45%,,43%
Montana,22%,33%,,45%
Alaska,,,,100%
Tennessee,30%,13%,3%,54%
New York,50%,10%,5%,35%
New Mexico,32%,29%,,39%
Arkansas,24%,39%,,37%
North Carolina,35%,17%,2%,46%
Georgia,44%,15%,<1%,41%
Missouri,37%,18%,2%,43%
Delaware,38%,,,62%
District of Columbia,100%,,,
Washington,29%,24%,5%,42%
Oregon,26%,22%,4%,48%
Florida,44%,19%,1%,36%
New Jersey,47%,24%,6%,23%
California,51%,7%,5%,37%
Nevada,53%,,,47%
Louisiana,38%,12%,,50%
South Carolina,37%,17%,2%,44%
Massachusetts,35%,40%,5%,20%
Kansas,39%,24%,,37%
Vermont,33%,,,67%
Texas,45%,11%,3%,41%
New Hampshire,31%,,,69%
Colorado,33%,26%,4%,37%
Indiana,38%,11%,2%,49%
Hawaii,47%,,,53%
Minnesota,28%,26%,5%,41%
Michigan,31%,34%,2%,33%
Pennsylvania,44%,11%,9%,36%
Iowa,26%,22%,,52%
Utah,53%,,,47%
Ohio,40%,21%,3%,36%
Illinois,39%,18%,7%,36%
Wisconsin,39%,19%,2%,40%
North Dakota,,,,
South Dakota,,,,
Rhode Island,,,,
Wyoming,,,,
