Category: All categories

Week,online tutoring: (United States),online public schools: (United States),learning pod: (United States),how to homeschool: (United States)
2019-08-04,12,15,0,33
2019-08-11,24,20,1,39
2019-08-18,24,11,0,27
2019-08-25,20,6,2,35
2019-09-01,24,21,1,24
2019-09-08,28,13,1,26
2019-09-15,20,21,0,22
2019-09-22,20,13,0,29
2019-09-29,30,11,1,30
2019-10-06,31,11,0,23
2019-10-13,22,10,0,16
2019-10-20,24,17,0,11
2019-10-27,14,17,0,20
2019-11-03,23,10,1,27
2019-11-10,22,15,0,21
2019-11-17,20,16,0,26
2019-11-24,10,6,0,11
2019-12-01,16,12,0,19
2019-12-08,22,12,1,23
2019-12-15,18,7,2,10
2019-12-22,15,4,0,4
2019-12-29,22,10,1,21
2020-01-05,24,13,1,20
2020-01-12,21,14,1,35
2020-01-19,12,13,1,29
2020-01-26,20,11,0,32
2020-02-02,18,15,2,27
2020-02-09,26,14,0,26
2020-02-16,23,13,0,13
2020-02-23,23,13,3,15
2020-03-01,24,11,0,21
2020-03-08,25,34,0,26
2020-03-15,71,42,1,47
2020-03-22,66,32,0,32
2020-03-29,50,21,0,34
2020-04-05,41,15,1,23
2020-04-12,42,17,1,20
2020-04-19,56,19,1,21
2020-04-26,36,14,1,23
2020-05-03,44,19,1,15
2020-05-10,54,12,1,25
2020-05-17,41,17,0,41
2020-05-24,38,5,0,26
2020-05-31,44,14,1,21
2020-06-07,43,12,1,27
2020-06-14,32,13,0,35
2020-06-21,32,20,0,26
2020-06-28,38,11,1,48
2020-07-05,47,15,2,56
2020-07-12,52,25,1,100
2020-07-19,49,42,20,84
2020-07-26,44,33,16,64
2020-08-02,42,38,22,71
2020-08-09,48,31,16,55
2020-08-16,43,33,22,62
2020-08-23,42,23,23,43
2020-08-30,36,27,12,46
2020-09-06,32,21,14,37
2020-09-13,40,17,4,34
2020-09-20,41,13,6,30
2020-09-27,34,14,4,25
2020-10-04,29,10,4,27
2020-10-11,35,12,3,24
2020-10-18,23,12,6,34
2020-10-25,29,10,2,22
2020-11-01,28,4,0,17
2020-11-08,30,8,2,24
2020-11-15,24,11,4,19
2020-11-22,16,7,2,11
2020-11-29,28,9,7,16
2020-12-06,27,8,3,10
2020-12-13,23,7,2,12
